我们	rywu
不举	gncv
不达	gndp
晋江	goia
万台	gqck
不可捉摸	gsrr
不进则退	gxmv
上汽	haie
书吧	hbkj
南亚	hego
执教	hgfb
水牢	hipp
基本纲领	hjxd
徒有	hkef
盼头	hmiw
长见识	hmyk
勘测	hnim
高精度	holc
水蜜桃	hpsi
饭卡	hrmh
长虫	hsjh
眼前利益	hutu
上合组织	hwxx
彻夜难眠	hych
小苹果	iajs
满族	iapc
尖头	idiw
尘事	ifnv
浅尝	igic
油彩	ines
油箱	intt
消炎药	ioax
深长	iohs
浮生若梦	ipam
游船	ipen
省省	itit
少壮	ituf
润肺	iueg
汤勺	ivqy
深似海	iwcu
滑板	ixsr
滑入	ixty
本草纲目	jaxh
最牛	jbpt
蚂蟥	jcja
电动自行车	jctl
爱欲	jdmr
明月几时有	jene
暖床	jeos
时运	jfcp
明天上午	jghr
易卜拉欣	jhrr
愚昧无知	jjfc
本题	jjjw
电光石火	jkdo
遇袭	jmdx
星体	jpwj
昧着良心	jpyn
易受	jqjc
易懂	jqna
时好时坏	jvjf
归乡	jvxt
嘎嘣	kdkm
噎死	kfbx
走过场	kffv
影帝	kiup
喝止	kjch
喂马	klco
起首	klqy
耀华	knmx
听之任之	kpwp
邀请码	kydc
次方	kypy
恩仇	ldwv
去势	lhhl
四化	liht
四色	liqj
曾祖	ljoe
踢掉	ljrh
圆心	lkni
改朝换代	lkrh
圆木	lkss
回血	lktl
逻辑关系	llst
男性朋友	lned
思想意识	ltxy
为公	lumc
为祸	luok
为依托	lwrm
也受	majc
看扁	meom
看家	mepe
周详	mfyp
翻车	mllg
翻炒	mloi
山大	mmdo
梵语	mnys
八楼	moso
购票	mqbi
刚下	mrgh
刚发	mrhd
保护色	mrqj
刚做	mrwd
见客	mspo
败绩	mtxg
公交车站	mulu
贴吧	mvkj
内饰	mwht
屈身	nbyt
凤尾	ncnc
怪道	ncqp
快不快乐	ngnq
情仇	ngwv
特征性	nhnp
民族特色	npnq
几千个	nqot
几拳	ntxc
熨帖	nwbv
各不	oagn
神圣职责	ocbg
数一数	ogov
爆笑	ojtm
店子	okbo
那怎么行	okoh
断魂	oncq
熔炉	opoo
个人认为	owyl
宽泛	pait
客观现实	pcgp
定海神针	pcoq
宜宾	pepr
家装	peuf
家信	pewy
着意	phxn
实景	piki
养胃	pjle
蛮像	pjwl
军旅	plpq
穷鬼	plqc
完全能	pojx
字字句句	ppss
生产效率	puua
安胎	pvec
窦唯	pvkr
定语	pwys
羊圈	pylx
危在旦夕	qdjq
鞋面	qfdl
乐不可支	qgsf
外勤	qhqf
乐团	qilf
名讳	qkyv
重见天日	qmgj
迁往	qphb
重点培养	qvfp
留影	qyki
岳阳楼	rbso
援助之手	repc
技校	rfsu
抱不平	rgfu
掉毛	rhcn
搞乱	rhqn
搅局	rins
提上	rjha
拍案	rkpv
挽歌	rlaq
扒皮	rmhc
托尼	rmnx
探花	roah
抓药	roax
扩招	rorv
排卵期	rqhe
折痕	rruv
推拿	rrwc
打虎	rshn
拘泥	rsin
雅间	rtuj
接人	ruwo
掩人耳目	rwbh
拂动	rxcl
指骨	rxxh
擅于	ryfh
李牧	sbnt
橘色	scqj
村内	sfmw
桂冠	sfpf
中青年	sgak
木头人	siwo
查勘	sjhn
桥墩	smfy
松香	smtj
中央人民政府	smwo
植物神经	snox
样样精通	ssoc
可供选择	swer
升为	talu
私通	tcce
管理科学	tgti
程式	tkaa
血泡	tliq
贤明	tmje
秋波	toih
程序设计	toyy
相差甚远	tphf
管路	tplo
坚守岗位	tpmw
自我封闭	trfu
和和气气	ttee
竹筐	ttta
秉公	tvmc
背黑锅	ubqk
凑数	udov
瓶身	ueyt
病毒性	ugnp
并不仅仅	ugww
瘟神	ujoj
慈禧	uoof
慈善机构	upss
冲锋在前	uqdu
闲扯	usrc
产自	uttt
整部	utuk
益智	uuck
兼得	uvhx
前文	uwcy
背带	uxmp
北望	uxye
即能	vbjx
退耕还林	vdgm
女厕所	vdlr
嫡出	vebm
鬃毛	vecn
好兆头	viiw
加码	vndc
点兵	vorg
嫁女	vpvv
群殴	vtar
借个	waot
侍寝	wfpu
佳句	wfst
登楼	wgso
人不可貌相	wgst
登徒子	whbo
仙丹	wmmy
人民公仆	wnmw
假死	wrbx
休止	wsch
体细胞	wxeq
红袖添香	xbit
引线	xhxg
来张	xixh
遗诏	xmyv
终成眷属	xpxn
竟要	xqsv
意外伤害	xqwj
统筹规划	xtax
弹片	xust
续航	xvey
纺织品	xxkx
绕圈	xxlx
望子成龙	ybpd
离校	ybsu
充塞	ycpf
言归正传	yjgw
误诊	ykyw
调高	ymhk
谁肯	yrce
课程表	ytgk
读史	yvkr
计划性	yxnp
设计模式	yysa
苦熬	adgt
苦守	adpf
巨大变化	adph
荸荠	afac
甘当	afiv
医学观察	aicp
薄纸	aixs
警句	asst
若使	atwr
蓓蕾	awaf
莅临	awjt
默默无言	bbfy
隐形的翅膀	beke
联席会议	bloy
孤男寡女	blpv
袖管	bntp
孤高	bohk
裤袋	bohy
奥数	boov
孤军奋战	bpdv
凶神	btoj
金环	bugg
初犯	bvvl
联合体	bwwj
运动量	ccjg
通吃	ceks
魂不附体	cgbw
手袋	chhy
知其然	chqd
台账	ckmh
劝架	clvs
劝谏	clys
动物性	cnnp
举重若轻	cqal
知道了吧	cqbk
柔光	cskh
动人心弦	cwnx
紫黑	cxbb
紫癜	cxun
知识结构	cyxs
擘画	dagl
磕磕巴巴	ddjj
破壁	dhda
艳福	dhor
大江东去	dial
百克	djdq
春光明媚	dkjv
历史记录	dkyj
面食	dlhh
百忙之中	dnps
感性认识	dnyy
大内	domw
大锤	doqq
大摆	dorl
大禹	dotk
大仇	dowv
碗底	dpos
确乎	dqtu
奇兵	dsrg
今昔	dtaj
故我	dtry
咸鸭蛋	duwj
奉养	dwpj
唇红齿白	dxck
碎冰	dyuh
两院	eabp
有感而发	eddh
用武之地	egpf
对表	engk
肌注	enib
对公	enmc
船体	enwj
胶质	eurf
有点甜	evqa
垮台	fdck
零一	fdgi
直待	fehf
真性	fenp
直道	feqp
十月份	fewm
远不止	fgch
喜上眉梢	fhns
后记	fkyl
无欲则刚	fmmm
求出	fobm
赫兹	fouo
元宵节	fpab
救生艇	fpeq
城阙	fpuu
远足	fqlh
远遁	fqrf
无良	fsyv
真想不到	ftga
雪松	fvsm
豆粉	gaom
不买账	gcmh
斑马线	gcxg
不感冒	gdjh
互不相让	ggty
下家	ghpe
一唱一和	gkgt
珠光宝气	gkpe
瑞金	gmbu
不暇	gnjr
严令	gody
万难	gqcr
歪打正着	grgp
理工	guag
一病不起	gugk
班组	gvxe
毒誓	gxrr
一夜情	gyng
上半	havu
馊主意	hbxn
征服者	hefj
待定	hfpw
循环经济	hgxi
目力	hhla
睚眦必报	hhnr
食疗	hhub
水榭	hisy
旧城	hjfp
基本方法	hjpi
基本方针	hjpq
敲醒	hksj
基因库	hlol
微利	hmtj
长岛	hsqm
南半球	hvgf
卓别林	hvme
德意志	hxfn
小菜一碟	iagd
学苑	ibaq
注水	ibhi
涉险	icbw
治乱	icqn
满脸堆笑	ieft
没有权力	iesl
浮桥	iesm
淫妇	ievv
油盐酱醋	ifus
清越	igka
清军	igpl
深表歉意	igux
小处	iith
法外	ilqh
法条	ilti
学习兴趣	inck
沿边	inlp
深冬	iotu
游牧	ipnt
游神	ipoj
泛酸	itsc
小意思	ixln
没门	ixuy
虹吸	jake
最底	jbos
盟军	jepl
电热毯	jhcn
是非曲直	jmkf
赏钱	jmqg
映山红	jmxa
明察秋毫	jpth
本质区别	jrav
晒出	jsbm
杀尽	jtnm
归藏	jvau
归队	jvbw
照护	jvro
越短	kacg
嘴贱	kcmg
嘴笨	kctj
赶工	kfag
吐蕃	kfam
喷嘴	kfkc
嘘嘘	khkh
吸尘器	kixd
听凭	krwq
只准	kuur
听证会	kyoc
固若金汤	labi
异型	laej
异同	lama
罗马法	lcil
因应	ldoq
所造成	lepx
改头换面	lird
办证	lmyg
连锁店	lqok
连接到	lraj
暂无	lrfs
为贵	luxm
度假村	lwsf
累加	lxvn
也怪	manc
公物	mcnq
看剧	mend
同学录	miji
肉疼	miut
保释	mkmc
凯文	mlcy
公事公办	mnml
刚愎自用	mnte
釜底抽薪	mora
保持警惕	mran
见诸	msyf
爷们儿	mwqq
辈出	mxbm
悲声	mxfn
懂行	nahw
刷碗	nbdp
层叠	ncco
凤冠	ncpf
民智	neck
特指	nfrx
事不宜迟	ngpn
司法救助	nife
惊为天人	nlgw
几起	ntkl
恨死	nvbx
以降	nwbt
飞禽走兽	nwku
各占	oavh
双清	oeig
精彩纷呈	oexk
寿星	ofjp
炒房	oiop
神药	ojax
炽盛	okpx
精力旺盛	oljp
粉白	omkt
社会主义精神文明	oobj
应受	oqjc
福祸	orok
广发	othd
禅院	oubp
糕饼	ouhu
断绝关系	oxst
差得	pahx
突显	pdjo
家道	peqp
家私	petc
写不出来	pgbx
空头支票	pifb
宫刑	pkej
宫阙	pkuu
羞惭	pnnl
成双成对	pope
生产商	puer
安坐	pvaf
差强人意	pxwx
名存实亡	qdpy
负有责任	qegw
链霉素	qfgx
急不可待	qgsh
垂涎三尺	qidn
乐正	qigc
钟点	qsvo
儿童节	quab
重放	qupt
急眼	qvhv
乱作一团	qwgl
刮骨疗毒	qxug
挤挤	rcrc
拍胸脯	reeb
报告会	reoc
遁入	rfty
技不如人	rgvw
搞搞	rhrh
抓挠	rorx
换装	rquf
拱形	rree
推特	rrnf
推杯换盏	rsrg
抗美援朝	rurk
扫完	rvpf
擅闯	ryuc
中气十足	sefl
极化	seht
极广	seot
板上钉钉	shqq
李鸿章	sixf
棉鞋	skqf
中国国际	sllb
中国人民大学	slwi
札记	snyl
够好	sqvb
中美两国	suel
标线	swxg
延年益寿	tauo
第三产业	tduo
秸秆	tftf
第一号	tgkw
自吹自擂	tktr
鼻祖	tpoe
紧箍咒	ttxn
第六天	tugd
野史	uakr
效率低下	uawg
将达到	udaj
颜面扫地	udrf
剃须刀	uevn
减少到	uiaj
单选	uleq
兽类	ulod
闲钱	usqg
闹市区	uvar
北非	uxmx
即用	vbeh
专营	vcap
专供	vcwr
卖主	viby
独创	vjwl
别忘	vjyn
狗男女	vlvv
妞妞	vnvn
妙笔生花	vtpa
狼崽	vyml
偕老	wafx
低年级	waxe
借调	waym
伏下	wdgh
作用力	wela
低水平	whfu
体虚	wjho
体校	wjsu
人口众多	wkwq
合为一体	wlgw
倜傥	wmwj
伏特加	wnvn
儒家思想	wplt
悠着点	wpvo
敛财	wqmf
侦探小说	wriy
人模狗样	wsvs
侵华	wvmx
储量	wyjg
红桃	xasi
红娘	xavy
绥化	xeht
编辑部	xluk
编队	xobw
进击	xpfm
绿色通道	xqcq
弦外之音	xqpx
母狗	xsvs
幼稚园	xtlf
每股	xxex
绵绵不绝	xxgx
每篇	xxto
绒线	xxxg
试纸	yaxs
课前	yjuw
衣装	ykuf
误认	ykyw
说也奇怪	ymdn
词穷	ynpl
良家妇女	ypvv
课外书	yqhb
话本	yqjj
询价	yqww
认股	ywex
夜曲	ywka
认作	ywwk
谢啦	yykr
议定	yypw
蒸熟	abyb
茅盾	acrf
畜禽	acwy
荣辱与共	adqr
东奔西走	adsk
苟且偷生	aewp
敬酒不吃吃罚酒	aigi
东周	aimf
荞麦	amgt
营业厅	aods
营业网点	aomv
孽畜	atac
藏语	auys
蒙娜丽莎	avga
获罪	avlm
蓄谋已久	aylq
藏身之处	aypt
顿首	baqy
黑球	bbgf
飘飘欲仙	bbmw
孜孜以求	bbnf
承恩	bdld
陋巷	berl
褂子	bfbo
被坑	bhfy
亟待解决	bhqu
补刀	bhvn
被害者	bjfj
防盗门	bkuy
列祖列宗	bobp
黑色幽默	bqxb
防护服	brei
主持公道	brmq
阿迪	bsnp
降幅	btbr
坠毁	bwva
主簿	byti
短短几天	ccng
邓丽君	cgvt
手纸	chxs
毛泽东主席	cial
买断	cion
齐白石	ckdd
台南	ckhe
知法	ckil
怠惰	cknd
知交	ckur
骄子	cmbo
这厢	cpdt
难遇	crjm
鱼胶	cteu
验孕	cweb
柴胡	cxde
此病	cxue
圣诞快乐	cynq
丰功伟绩	dawx
奋发向上	dhbh
丰姿	dhkv
三地	difm
百变	djpc
耐看	dmme
总对	dnen
感情色彩	dnqe
总兵	dnrg
大褂	dobf
大虾	dojg
大虫	dojh
大振	dord
大副	dorl
奇缘	dsxx
太黑	dubb
大前提	durj
面如土色	dvfq
令人难忘	dwcy
胎气	ecet
脱鞋	edqf
有否	efgk
有诈	efyk
有眼无珠	ehfg
用计	ehyf
对日	enja
对路	enlo
开骂	eoxc
先烈	eqbj
商代	erhy
采花	esah
腰酸背痛	esuu
气态	etdu
胶鞋	euqf
有何意义	ewxy
老龄化	fcht
平平静静	ffgg
墙头草	fiav
无师自通	fjtc
后周	fkmf
后窗	fkpt
支配地位	fsfw
埋单	fuul
老城	fxfp
老弱	fxxu
寸土	fyff
武威	gadv
万圣节	gcab
一大家子	gdpb
不下于	ggfh
琐屑	gini
一日不见	gjgm
不吵不闹	gkgu
碧潭	gkis
画工	glag
琳达	gmdp
王公贵族	gmxp
一笔一画	gtgg
琢磨不透	gvgt
夷狄	gxvo
严丝合缝	gxwx
不良习惯	gynn
化工厂	hadg
上城	hafp
上榜	hasu
瞒住	hawb
代金券	hbxv
皮袄	hcbm
皮相	hctg
期权	hesc
基底	hfos
待机	hfsn
水滴石穿	hidp
旧约	hjxq
高些	hkcx
高招	hkrv
发展观	hncm
热狗	hovs
长恨	hsnv
眼中钉	hsqs
长卷	hsxl
上自习	htnu
很烂	hvou
长途汽车	hwil
代课	hyyj
渔舟	icet
小肚鸡肠	iece
逍遥法外	ieiq
浮力	iela
湖南卫视	ihno
小胜	iiep
混个	ijot
瀚海	ikcu
深黑	iobb
小蜜蜂	ipjt
洋鬼子	iqbo
泡水	iqhi
活宝	iqpb
港元	irfq
少男	itll
滋阴	iube
汤水	ivhi
演讲稿	iyth
受教	jcfb
虫草	jhav
州郡	jivt
本队	jjbw
冒冒失失	jjrr
蚱蜢	jkjb
归去来兮	jlxm
电音	jnxy
晕死	jpbx
暗香疏影	jtck
照相馆	jthp
载入史册	jtky
遇人不淑	jwgi
时来运转	jxcl
曲中	kash
啄米	keoa
吕不韦	kgvn
口吐白沫	kkki
口福	kkor
起毛	klcn
世界冠军	klpp
资方	kmpy
唯物史观	knkc
趋炎附势	kobh
只肯	kuce
只谈	kuyo
超星	kvjp
品酒	kxis
越来越短	kxkc
异界	lalw
固本	ldjj
畏寒	lepu
路漫漫其修远兮	liim
四合	liwt
制片	ljst
回校	lksu
因特网	lnmd
路经	loxc
软实力	lpla
连词	lpyn
转危为安	lqlp
斩击	lrfm
思想觉悟	ltin
围殴	lvar
转轮	lvlw
囚车	lwlg
图谋不轨	lygl
同床	maos
同享	mayb
拜为	mglu
翻一番	mgml
分理处	mgth
赋值	mgwf
山阳	mmbj
山盟	mmje
看家本领	mpjd
刚果	mrjs
刚起	mrkl
欲速则不达	mumd
赔礼	muon
屈曲	nbka
居处	ndth
怔忡	ngns
惊涛拍岸	nirm
心算	nith
司法程序	nito
特异功能	nlaj
心灵手巧	nvca
翠绿色	nxqj
惊出	nybm
特许经营	nyxa
米面	oadl
会费	ocxj
福克斯	odhr
双生	oepg
视物	omnq
祥瑞	opgm
双宿双飞	opon
全家福	opor
广播电台	orjc
双休日	owja
变粗	pcoe
寡欲	pdmr
守恒	pfng
生理需要	pgfs
生娃	pgvf
生长期	phhe
养血	pjtl
窝心	pkni
实力雄厚	pldd
军情	plng
军控	plrp
宁缺毋滥	prxi
空门	psuy
寒冬腊月	ptee
变速器	puxd
空前绝后	puxf
宗亲	pwui
成材	pxsf
刮胡子	qdbo
解酒	qeis
触痛	qeuc
怨声载道	qfjq
道不明	qgje
钵盂	qjfh
名篇	qkto
名剑	qkwq
铜器	qmxd
乱成	qnpx
锱铢必较	qqnl
甜甜蜜蜜	qqpp
铁环	qrgg
铁窗	qrpt
匆促	qrwl
铁盒	qrwl
银线	qvxg
解说员	qykm
久之	qypp
扯破	rcdh
摇铃	reqd
拥立	reuu
批发价	rhww
搞活动	ricl
捐钱	rkqg
排险	rmbw
护膝	roes
扩容	ropr
探询	royq
换衣	rqyk
拆台	rrck
抵押贷款	rrhf
乒乒乓乓	rrrr
技术革新	rsqu
打拳	rsxc
共产国际	rulb
撞断	ruon
拐走	rvkg
指正	rxgc
失望透顶	ryts
格式化	saht
印出	sbbm
李治	sbic
极简	setu
中资	shkm
查房	sjop
中国画	slgl
权力机关	slss
忠良	snyv
校训	suyj
酯类	sxod
笔法	tcil
追思	tdln
透骨	texh
等量	tfjg
相赠	tgml
香茶	tjaw
相思树	tlse
秃鹰	tnow
笙箫	tptv
冬梅	tusx
笤帚	tvvp
系统消息	txit
系统设置	txyl
野餐	uahq
问东问西	uaus
逆反	ubrc
冷箭	udtu
病理学	ugib
交响曲	ukka
立足之地	ulpf
端茶	umaw
帝制	uplj
野蛮人	upwo
冲昏头脑	usie
童装	uuuf
剪报	uwri
北去	uxlh
猛击	vbfm
猢狲	vdvb
奶子	vebo
别有洞天	veig
早茶	vhaw
占去	vhlh
另立	vhuu
卖花	viah
杂色	viqj
违法乱纪	viqx
狮吼	vjkb
加时赛	vjpm
好逸恶劳	vlga
好事者	vnfj
加粗	vnoe
加宽	vnpa
九牛一毛	vpgc
既定目标	vphs
独生女	vpvv
战备	vxof
战将	vxuq
狼毫	vyhc
仍无	wefs
登出	wgbm
斜插	wirq
余种	wits
人民教师	wnfj
作息时间	wtju
传阅	wvud
仅仅有	wwef
示意图	wxlt
红褐色	xbqj
意志品质	xfkr
线衣	xgyk
经济价值	xiww
幽门	xmuy
约定俗成	xpwp
统筹安排	xtpr
弹幕	xusb
卷闸门	xuuy
纬度	xvlc
续集	xvmb
繁体字	xwpb
每餐	xxhq
每片	xxst
音译	xyyc
试镜	yaqx
译为	yclu
讲一讲	ygyx
谋财害命	ymjw
计算机科学	ytsi
读诗	yvyf
夜校	ywsu
躬耕	yxdi
身强力壮	yxlu
功夫不负有心人	aagw
节哀	abyk
萨达姆	advx
菖蒲	ajai
茧子	ajbo
黄泉路	aklo
年糕	akou
甘拜下风	amgn
坐视不管	aogt
劳神	apoj
七窍生烟	appo
辣味	aukf
草莽	avad
夫妇俩	avwe
主观性	bcnp
取火	bcoy
奥古斯丁	bdhs
主干道	bfqp
孙武	biga
剽悍	binj
阳朔	bjub
阵列	blbj
出列	bmbj
出洋	bmip
陷入僵局	btwn
金鸡	bucq
金鹏	buee
金粉	buom
金奖	buuq
初七	bvao
联合政府	bwgo
队内	bwmw
马齿苋	ccam
圣明	cfje
歧义	cfyr
手下败将	cgmu
文武双全	cgoo
智人	ckwo
手风琴	cngg
马队	cobw
知之甚少	cphi
矮墙	ctff
戏法	cxil
文才	cyft
文青	cyge
灰蒙蒙	daap
譬喻	dakw
大动脉	dcey
厌世	ddkd
避孕药	deax
太平军	dfpl
感天动地	dgcf
三下两下	dgeg
三妻四妾	dglu
夸父	dgmt
三台	dick
今时今日	djdj
在任	djwq
原唱	dkkj
感叹号	dkkw
面瘫	dluc
三分球	dmgf
大卡车	dmlg
春华秋实	dmtp
总攻	dnat
历尽沧桑	dnic
大棚	dose
克己	dqll
大闹天宫	dugp
大好时光	dvjk
秦观	dwcm
腻味	eakf
腰际	esbw
有权有势	eseh
先进工作者	exaf
坦荡荡	faai
老夫子	fabo
都有哪些	fekc
老城区	ffar
墙纸	ffxs
干酪	fgso
后发制人	fhlw
二点	fivo
幸免于难	flfc
地标	fmsw
赤水	fohi
你追我赶	ftrk
平直	fufe
无症状	fuud
场下	fvgh
老底	fxos
弄乱	gaqn
理工科	gatw
不辱使命	gdww
球星	gfjp
不露痕迹	gfup
下不为例	gglw
环岛	ggqm
还珠格格	ggss
更长时间	ghju
下世	ghkd
下辖	ghlj
下届	ghnn
政治稳定	gitp
更见	gjms
更宽	gjpa
一团和气	glte
不分彼此	gmhc
晋朝	goke
一掷千金	grqb
不可阻挡	gsbr
不要勉强	gslx
天秤座	gtoa
不疾不徐	gugh
班门弄斧	gugm
一言不合	gygw
货比三家	hadp
发蒙	hdap
发闷	hdun
水土不服	hfge
垫上	hfha
基质	hfrf
食粮	hhoy
微粒	hmou
货郎	hmyv
虚设	hoyx
饲养员	hpkm
衍生品	hpkx
餐巾	hqbh
虚与委蛇	hqtj
长信	hswy
上半天	hvgd
高蛋白	hwkt
瞪视	hwom
代销	hyqi
代称	hytq
满洲	iaij
学人	ibwo
汉江	icia
渗漏	icin
烫手山芋	icma
灞桥	ifsm
漫画家	igpe
小票	iibi
清洁剂	iicj
小雀	iiir
小窝	iipk
小清新	iiui
沧州市	ijvm
涉世未深	ikfi
渐暗	iljx
渐近	ilrp
法纪	ilxl
洞见	imms
洋气	ipet
浩然正气	iqge
酒窖	ispe
深入浅出	itib
少尉	itnw
泼冷水	iuhi
泪如泉涌	ivki
污言秽语	iyty
时刻准备着	jaup
蛀虫	jbjh
明教	jefb
党代会	jhoc
最小化	jiht
蜿蜒曲折	jjkr
电竞	jnuk
电价	jnww
蛇口	jpkk
党群	jqvt
截然	jrqd
掌权者	jsfj
临沂	jtir
口齿不清	kcgi
吠叫	kdkn
世风	kdnr
再入	kety
喷血	kftl
瓷盘	kgel
嘶喊	khkd
吃饱穿暖	khpj
趁热打铁	khrq
影业	kioh
影迷	kiop
趣味性	kknp
哪件	kowp
白衫	ktbe
白族	ktpc
白鹅	ktry
咬合	kuwt
只缘	kuxx
白费力气	kxle
白话文	kycy
四项基本原则	lahm
国贸	lbqy
因小失大	lird
因果报应	ljro
圆柱	lksb
囫囵吞枣	llge
男婴	llmm
路南	lohe
边写	lppq
回报率	lrac
斩获	lrav
所辖	lrlj
所传	lrwv
四季度	ltlc
围场	lvfv
思维方法	lxpi
网开一面	megd
则需	mjfd
非分之想	mmpt
欲穷千里目	mpqh
岁末	mqgs
见利忘义	mtyy
分赃	mvmo
父女俩	mvwe
敢干	nbfg
刷洗	nbie
民女	nevv
心无杂念	nfvd
快得多	nhqo
怕怕	nknk
必成	nopx
卫生习惯	npnn
物质文化	nrch
风凉	nruy
物极必反	nsnr
收效甚微	nuhh
屡战屡败	nvnm
底气不足	oegl
双喜临门	ofju
房山区	omar
应届毕业生	onap
廖化	onht
雇人	orwo
底价	osww
各自为政	otlg
各位朋友	owed
腐肉	owmi
个体户	owoo
全责	oxgm
全消	oxii
养殖业	pboh
变软	pclq
宣和	pgtk
突发状况	phuu
农垦	pkvf
军旗	plph
冤家路窄	pplp
穿多	prqo
空泛	psit
生产厂家	pudp
官僚资本主义	pwky
错漏	qain
乐观主义	qcby
外逃	qhiq
贸易保护主义	qjmy
争风吃醋	qnks
乱翻	qnml
乱搞	qnrh
多行	qohw
多个小时	qoij
锋刃	qtvy
急用	qveh
负债累累	qwll
摘除	rebw
抹脸	rgew
搞垮	rhfd
技高一筹	rhgt
焦虑症	rhug
搞点	rhvo
抄下	righ
挑拣	rira
推己及人	rlew
扭送	rnsp
抓伤	rowt
擦破	rpdh
搓泥	rpin
打字员	rpkm
挥笔	rptc
捶背	rqux
拉锯战	rqvx
招兵买马	rrcc
打底	rsos
技术革命	rsqw
接亲	ruui
招展	rvna
拾到	rwaj
抢攻	rwat
桂圆	sflk
杳无音信	sfxw
西晋	sggo
中选	sheq
楠木	shss
西南部	shuk
中学时代	sijh
中央空调	smpy
送检	spsw
概括性	srnp
升任	tawq
私德	tchl
私企	tcwc
和气生财	tepm
租客	tepo
秤砣	tfdp
相求	tgfo
管理方式	tgpa
相成	tgpx
管理经验	tgxc
稍晚	tijl
和乐	tkqi
贤士	tmfg
鼻酸	tpsc
自言	ttyy
紧闭双眼	tuoh
自问自答	tutt
冻坏	uafg
美苏	ugal
美股	ugex
美团	uglf
站不住脚	ugwe
新高度	uhlc
单行道	uhqp
冰棒	uhsd
病虫害	ujjr
问讯	ukyn
闷骚	uncc
六四	uoli
交于	urfh
准头	uriw
冲水	ushi
整件	utwp
立命	uuwn
立体声	uwfn
好牌	vbsr
好言	vbyy
鼠目寸光	vhfk
犯罪心理学	vlni
加温	vnij
半圈	vulx
嫌烦	vuod
退伍军人	vwpw
倒头	waiw
倾轧	waln
住哪	wbko
优生	wdpg
人面桃花	wdsa
信用度	welc
仪表盘	wgel
合理使用	wgwe
蛋挞	wjrd
侧边	wmlp
命丧	wnfu
仿真	wpfe
凭条	wqti
低档	wssi
倒背如流	wuvi
祭台	wwck
仪仗	wywg
红果	xajs
拳套	xcdv
骂街	xchf
意大利人	xdtw
赣州	xfji
引河	xhis
绕口令	xkdy
贵国	xmlb
遗风	xmnr
遗骨	xmxh
音乐剧	xqnd
绝配	xqsl
绣球	xtgf
乡情	xtng
乡试	xtya
每台	xxck
引经据典	xxrm
充军	ycpl
言而无信	ydfw
哀哉	ykjk
调派	ymir
永生难忘	ypcy
调查组	ysxe
良家	yvpe
夜游	ywip
襄樊	yxmi
谦谦君子	yyvb
英年早逝	aavr
黄褐色	abqj
苦役	adhx
巨大影响	adkk
坐禅	afou
至大	agdo
蒸汽机	aisn
到岸	ajmd
年轻力壮	allu
替罪羊	alpy
毕业证书	aoyh
工农兵	aprg
若夫	ataa
蒺藜	auat
范冰冰	auuh
东北人	auwo
巧手	awch
臣下	aygh
隔三岔五	bdms
死而复生	bdtp
玉石俱焚	bdwm
出人	bmwo
孔孟	bnbl
聊上	bqha
聚众斗殴	bwwa
死相	bxtg
通称	cetq
手脚冰凉	ceuu
歧途	cfwi
齐发	cjhd
鲜为人知	clwc
这轮	cplw
预祝	csok
此理	cxgu
砸坏	dafg
大获全胜	daoe
石笋	ddtv
三菱	diaf
感冒药	djax
大冒险	djbw
感冒发烧	djho
含恨	dknv
百看不厌	dmgd
贪杯	dmsg
大略	dolo
三角肌	dqen
奇闻	dsub
太甚	duhn
太岁	dumq
原计划	dyxj
两肩	eaoe
悬停	ecwh
形态各异	edol
两面人	edwo
膳食纤维	ehxx
遭逢	emtd
对台	enck
开拍	eork
脓液	epiy
商周	ermf
采矿	esdo
脸黑	ewbb
腾挪	exro
教出	fbbm
无厘头	fdiw
封赏	ffjm
土狗	ffvs
平天下	fggh
干果	fgjs
士族	fgpc
干娘	fgvy
坦承	fjbd
协和	fltk
增产	flut
无虞	fshk
无华	fsmx
无谋	fsya
救场	ftfv
平喘	fukm
老仆	fxwh
协调一致	fyga
逗人	gawo
武大郎	gdyv
天下英雄	ggad
不一而足	ggdl
王毅	ggue
玳瑁	ghgj
亚热带	ghmp
下设	ghyx
更得	gjhx
不走运	gkcp
一哄而散	gkda
一呼百应	gkdo
画片	glst
恶俗	gowm
一家家	gppe
一拍两散	grea
不标准	gsur
珠江	gtia
不利因素	gtlg
表里不一	gugg
不合常理	gwjg
不但如此	gwvc
理论家	gype
不言自明	gytj
瞄向	habk
上溯	haiu
瞅了瞅	hbht
书册	hbyg
基础理论	hdgy
毫无理由	hfgn
毫不含糊	hgdo
征管	hgtp
行万里路	hgul
水电站	hjuv
高分子	hmbo
微澜	hmiu
贞操	hmrk
发愤图强	hnlx
热土	hoff
眼疾	hvuc
其他时间	hwju
饱经沧桑	hxic
学部	ibuk
湖岸	idmd
汗衫	ifbe
沙坑	iify
小语	iiys
浏览量	ijjg
漫山	ijmm
涡轮	iklw
激将	ikuq
汛期	inhe
派克	irdq
洒家	ispe
泛型	itej
滑梯	ixsu
日下	jagh
昆山	jamm
最硬	jbdg
明月清风	jein
暗下决心	jgun
本草	jjav
昌平	jjfu
本门	jjuy
师伯	jkwk
爱国精神	jloo
赏玩	jmgf
愚公移山	jmtm
巴山	jnmm
巴特	jnnf
显形	joee
蜂拥而上	jrdh
割喉	jrkw
暗里	jxua
唱歌跳舞	kalr
